address,ground_truth_label,ground_truth_source,ground_truth_evidence_type,ground_truth_date,ground_truth_independent,notes
3GuQjr7kkrR5EjpanMgyAuxuLgrjEUwe21,darknet market,ofac_sdn,official_sanction,,yes,
3H3rh85qPaGLy2w6618yZNaH7i8asHv46B,exchange,ofac_sdn,official_sanction,,yes,
3HJN4jRa4mdfkey9JR9jUhr86yPwL86A3C,darknet market,ofac_sdn,official_sanction,,yes,
3HQDRyzwm82MFmLWtmyikDM9JQEtVT6vAp,mixer,ofac_sdn,official_sanction,,yes,
3HRExd8GKFskZC5inmVcpiyy9UWG7FVa6o,darknet market,ofac_sdn,official_sanction,,yes,
3HSZc4BLnQBznjSq7JvXgqNCZUUs3M9fZz,darknet market,ofac_sdn,official_sanction,,yes,
3HupEUfKmMhvhXqf8TMoPAyqDcRC1kpe65,mixer,ofac_sdn,official_sanction,,yes,
3HzQJ3CGQKkWuxGSiWW286PePSed7tgKWp,scam,watchyourback_manual,academic_verified,,yes,
3J19qffPT6mxQUcV6k5yVURGZtdhpdGr4y,mixer,ofac_sdn,official_sanction,,yes,
3JHMz3mTna1gVCZSPp8NgRFiY7phkv5mA8,mixer,ofac_sdn,official_sanction,,yes,
3JLyyLbwciWAC6re87D7mRknXakR4YbnUd,mixer,ofac_sdn,official_sanction,,yes,
3JUwAS7seL3fh5hxWh9fu3HCiEzjuQLTfg,mixer,ofac_sdn,official_sanction,,yes,
3JhPsVV3KnL9dBYGSZALS9EbrLr97R865a,darknet market,ofac_sdn,official_sanction,,yes,
3JuSgFrwnrNfuhvR4GpWAPmeJVot4xrEae,darknet market,ofac_sdn,official_sanction,,yes,
3K26aMKmnrv97Pj6YiFcqiXk2LxeHfhnG3,darknet market,ofac_sdn,official_sanction,,yes,
3K35dyL85fR9ht7UgzPfd1gLRRXQtNTqE3,mixer,ofac_sdn,official_sanction,,yes,
3K4rjdh8A5yi6LWvft2rbmyZvqEbPSSSX4,darknet market,ofac_sdn,official_sanction,,yes,
3K7PMJyMNVnxqsfpmK9r9nJDtzDw9wNwNV,exchange,ofac_sdn,official_sanction,,yes,
3KGQ3hX6eFYtBjTBFSdvdkzHmwZyYWLRQh,darknet market,ofac_sdn,official_sanction,,yes,
